Name	RA_hr	RA_min	RA_s	DEC_deg	DEC_arcmin	DEC_arcsec	FieldA	DistFA	FieldV	DistFV	Class	Flux	eFlux	PFlux	RMS	Rmaj	Rmin	PA	norm_name	e_bmaj(arcsec)	e_bmin(arcsec)	e_pa(deg)
HOPS-303	5	42	2.649	-2	7	45.98	HOPS-303	0.5	HOPS-303	0.6	0	199.125	4.296	46.296	0.77	0.24	0.19	164.0	HOPS303	0.006	0.005	4.5
HOPS-299	5	41	44.61	-2	16	6.63	HOPS-299	0.5	NAN	NAN	I	5.005	0.86	3.272	0.31	0.13	0.09	135.2	HOPS299	0.037	0.041	78.1
HOPS-300	5	41	24.212	-2	16	6.66	HOPS-300	0.2	NAN	NAN	I	5.188	0.565	3.644	0.22	0.1	0.08	101.7	HOPS300	0.024	0.030	71.3
HOPS-298-A	5	41	37.192	-2	17	17.35	HOPS-298	0.4	NAN	NAN	I	278.637	5.822	95.056	1.4	0.19	0.12	3.1	HOPS298A	0.005	0.004	2.7
HOPS-298-B	5	41	37.04	-2	17	18.01	HOPS-298	2.2	NAN	NAN	I	85.833	4.287	43.825	1.46	0.11	0.11	15.4	HOPS298B	0.012	0.013	74.0
HOPS-297	5	41	23.294	-2	17	35.79	HOPS-297	0.3	HOPS-399	40.9	I	3.053	0.661	1.612	0.21	0.19	0.07	173.2	HOPS297	0.053	0.049	19.3
HOPS-399	5	41	24.932	-2	18	6.68	HOPS-399	1.8	HOPS-399	1.8	0	290.391	6.27	103.999	1.48	0.19	0.15	143.6	HOPS399	0.005	0.004	5.1
HOPS-372	5	41	26.37	-2	18	20.18	HOPS-372	0.5	HOPS-372	0.5	0	20.461	0.795	12.912	0.29	0.1	0.08	116.2	HOPS372	0.007	0.006	21.5
HOPS-398	5	41	29.414	-2	21	16.42	HOPS-398	0.7	HOPS-398	0.7	0	234.84	5.169	64.071	0.98	0.22	0.19	10.6	HOPS398	0.006	0.006	7.9
HOPS-295	5	41	28.961	-2	23	19.56	HOPS-295	0.3	NAN	NAN	I	3.48	0.386	3.438	0.22	0.0	0.0	0.0	HOPS295	0.054	0.039	0.0
