Name	RA_hr	RA_min	RA_s	DEC_deg	DEC_arcmin	DEC_arcsec	FieldA	DistFA	FieldV	DistFV	Class	Flux	eFlux	PFlux	RMS	Rmaj	Rmin	PA	norm_name	e_bmaj(arcsec)	e_bmin(arcsec)	e_pa(deg)
HOPS-30	5	34	44.055	-5	41	25.84	HOPS-30	0.1	HOPS-28	56.9	I	115.088	2.019	56.273	0.64	0.13	0.08	139.9	HOPS30	0.003	0.003	2.4
HOPS-29	5	34	49.043	-5	41	42.4	HOPS-29	0.2	HOPS-28	29.4	I	28.577	0.666	20.794	0.29	0.07	0.06	172.5	HOPS29	0.004	0.005	29.5
HOPS-28-A	5	34	47.32	-5	41	56.08	HOPS-28	0.5	HOPS-28	0.5	0	10.082	0.726	4.572	0.23	0.16	0.06	54.0	HOPS28A	0.014	0.011	3.9
HOPS-28-B	5	34	47.303	-5	41	56.29	HOPS-28	0.5	HOPS-28	0.5	0	2.616	0.484	2.215	0.23	0.08	0.01	67.3	HOPS28B	0.027	0.039	49.2
HOPS-20-A	5	33	30.704	-5	50	41.29	HOPS-20	0.3	HOPS-20	0.3	I	6.705	0.464	6.012	0.23	0.05	0.03	59.5	HOPS20A	0.013	0.017	67.1
HOPS-18	5	35	5.515	-5	51	54.42	HOPS-18	0.4	HOPS-18	0.4	I	35.09	1.329	12.959	0.35	0.27	0.07	161.4	HOPS18	0.012	0.006	1.3
HOPS-17	5	35	7.185	-5	52	6.07	HOPS-17	0.2	HOPS-18	27.9	I	43.928	1.131	17.133	0.3	0.17	0.1	37.2	HOPS17	0.005	0.004	1.9
HOPS-15	5	36	19.027	-5	55	25.4	HOPS-15	0.1	NAN	NAN	Flat	4.58	0.597	2.969	0.22	0.11	0.06	58.7	HOPS15	0.021	0.024	17.5
HOPS-16	5	35	0.822	-5	55	26.07	HOPS-16	0.4	NAN	NAN	Flat	21.644	0.67	18.925	0.35	0.05	0.03	147.6	HOPS16	0.011	0.018	37.1
HOPS-13	5	35	24.581	-5	55	33.74	HOPS-13	0.5	NAN	NAN	Flat	3.903	0.702	1.67	0.2	0.19	0.09	30.7	HOPS13	0.042	0.033	14.3
HOPS-371	5	35	10.419	-5	55	40.55	HOPS-371	0.3	HOPS-12	30.4	0	3.664	0.688	2.144	0.23	0.13	0.1	113.4	HOPS371	0.040	0.049	54.1
HOPS-12-A	5	35	8.631	-5	55	54.64	HOPS-12	0.6	HOPS-12	0.6	0	33.165	0.728	27.254	0.34	0.06	0.05	103.3	HOPS12A	0.005	0.006	16.4
HOPS-12-B-B	5	35	8.955	-5	55	54.88	HOPS-12	5.3	HOPS-12	5.3	0	42.345	0.821	29.598	0.43	0.09	0.06	82.5	HOPS12BB	0.003	0.004	5.6
HOPS-12-B-A	5	35	8.945	-5	55	55.03	HOPS-12	5.2	HOPS-12	5.2	0	59.902	0.876	39.274	0.43	0.09	0.07	76.6	HOPS12BA	0.002	0.003	4.4
HOPS-11	5	35	13.424	-5	57	57.88	HOPS-11	0.3	HOPS-11	0.3	0	236.579	4.139	96.238	1.17	0.13	0.12	94.4	HOPS11	0.003	0.003	12.5
HOPS-10	5	35	9.05	-5	58	26.87	HOPS-10	1.0	HOPS-10	1.0	0	69.209	1.334	33.175	0.43	0.14	0.07	116.6	HOPS10	0.003	0.003	1.4
HOPS-192	5	36	32.472	-6	1	16.45	HOPS-192	0.4	NAN	NAN	Flat	36.026	1.018	18.905	0.34	0.11	0.09	31.5	HOPS192	0.007	0.007	15.1
HOPS-193-A	5	36	30.282	-6	1	17.11	HOPS-193	0.3	NAN	NAN	I	8.812	0.529	7.363	0.26	0.05	0.04	16.5	HOPS193A	0.015	0.016	79.7
HOPS-193-B	5	36	30.283	-6	1	17.37	HOPS-193	0.2	NAN	NAN	I	8.678	0.515	7.336	0.26	0.05	0.02	149.1	HOPS193B	0.013	0.019	55.0
HOPS-200	5	35	33.214	-6	6	9.62	HOPS-200	0.0	NAN	NAN	Flat	73.37	2.275	13.325	0.33	0.46	0.16	84.1	HOPS200	0.015	0.005	1.0
HOPS-194	5	35	52.027	-6	10	1.67	HOPS-194	0.4	NAN	NAN	Flat	270.494	5.458	81.15	1.12	0.19	0.17	86.5	HOPS194	0.005	0.004	9.8
HOPS-191	5	36	17.273	-6	11	11.21	HOPS-191	0.3	NAN	NAN	I	7.927	0.488	6.844	0.25	0.05	0.02	139.2	HOPS191	0.015	0.024	64.7
HOPS-198	5	35	22.196	-6	13	6.14	HOPS-198	0.3	HOPS-198	0.3	0	56.256	1.643	10.411	0.32	0.41	0.07	158.4	HOPS198	0.013	0.005	0.6
HOPS-185	5	36	36.969	-6	14	58.78	HOPS-185	0.8	NAN	NAN	I	21.563	1.128	7.235	0.26	0.27	0.1	94.9	HOPS185	0.016	0.008	2.0
HOPS-181-B	5	36	19.655	-6	22	8.95	HOPS-181	4.1	HOPS-182	12.3	I	19.232	1.447	11.437	0.59	0.11	0.08	139.7	HOPS181B	0.017	0.020	33.2
HOPS-182-A	5	36	18.795	-6	22	10.21	HOPS-182	0.6	HOPS-182	0.5	0	741.927	7.967	192.971	1.63	0.21	0.16	150.8	HOPS182A	0.002	0.002	2.2
HOPS-182-B	5	36	18.775	-6	22	11.15	HOPS-182	1.3	HOPS-182	1.3	0	111.168	4.084	71.782	1.65	0.11	0.06	79.4	HOPS182B	0.007	0.006	4.5
HOPS-181-A	5	36	19.504	-6	22	11.99	HOPS-181	0.4	HOPS-182	10.2	I	8.424	0.947	7.704	0.51	0.0	0.0	0.0	HOPS181A	0.071	0.043	0.0
HOPS-182-C	5	36	18.478	-6	22	13.62	HOPS-182	6.3	HOPS-182	6.3	0	17.028	3.435	13.768	2.29	0.07	0.04	127.1	HOPS182C	0.039	0.034	77.4
HOPS-183-B	5	36	17.912	-6	22	27.25	HOPS-183	1.1	HOPS-182	21.9	Flat	2.095	0.53	1.847	0.25	0.09	0.03	117.6	HOPS183B	0.048	0.056	51.7
HOPS-178	5	36	24.622	-6	22	41.14	HOPS-178	0.3	NAN	NAN	I	43.686	0.934	29.371	0.38	0.1	0.05	60.4	HOPS178	0.004	0.003	2.6
HOPS-179	5	36	21.876	-6	23	29.91	HOPS-179	0.6	NAN	NAN	Flat	97.468	1.95	41.178	0.55	0.13	0.12	56.0	HOPS179	0.004	0.004	73.6
HOPS-176	5	36	23.603	-6	24	51.48	HOPS-176	0.3	HOPS-173-380	31.5	Flat	1.955	0.754	1.354	0.32	0.18	0.09	148.5	HOPS176	0.100	0.102	48.9
HOPS-174	5	36	25.868	-6	24	58.67	HOPS-174	0.2	HOPS-173-380	6.4	Flat	76.961	1.7	26.505	0.39	0.16	0.15	128.1	HOPS174	0.005	0.005	60.9
HOPS-173-A	5	36	26.041	-6	25	5.09	HOPS-173	0.1	HOPS-173-380	7.3	0	4.664	0.655	2.978	0.25	0.11	0.06	48.1	HOPS173A	0.024	0.031	20.1
HOPS-173-B	5	36	26.051	-6	25	5.31	HOPS-173	0.3	HOPS-173-380	7.5	0	2.791	0.527	2.028	0.25	0.0	0.0	0.0	HOPS173B	0.110	0.046	0.0
HOPS-199	5	34	39.887	-6	25	14.02	HOPS-199	0.4	NAN	NAN	Flat	32.335	2.335	3.946	0.26	0.91	0.14	38.7	HOPS199	0.072	0.013	1.0
HOPS-186	5	35	47.306	-6	26	14.71	HOPS-186	0.4	HOPS-186	0.4	I	56.63	1.856	8.001	0.3	0.51	0.1	132.3	HOPS186	0.018	0.006	0.7
HOPS-189	5	35	30.921	-6	26	32.0	HOPS-189	0.4	HOPS-188	30.9	I	5.326	0.574	3.93	0.25	0.08	0.05	31.2	HOPS189	0.026	0.032	48.5
HOPS-188	5	35	29.844	-6	26	58.13	HOPS-188	0.4	HOPS-188	0.4	I	677.581	14.169	100.838	1.87	0.38	0.22	75.0	HOPS188	0.008	0.005	1.4
HOPS-172	5	36	19.463	-6	29	6.91	HOPS-172	0.3	NAN	NAN	I	11.059	0.709	5.89	0.23	0.12	0.08	105.2	HOPS172	0.010	0.010	11.7
HOPS-170-B	5	36	41.322	-6	33	59.26	HOPS-170	0.8	NAN	NAN	Flat	49.727	1.66	21.891	0.46	0.13	0.12	144.6	HOPS170B	0.007	0.007	69.1
HOPS-170-A	5	36	41.368	-6	34	0.75	HOPS-170	0.9	NAN	NAN	Flat	72.401	1.823	27.765	0.46	0.14	0.14	167.0	HOPS170A	0.005	0.005	82.5
HOPS-197	5	34	15.897	-6	34	32.66	HOPS-197	0.2	NAN	NAN	Flat	4.295	0.566	3.358	0.25	0.06	0.06	21.8	HOPS197	0.029	0.049	82.6
HOPS-177	5	35	50.017	-6	34	53.47	HOPS-177	0.1	NAN	NAN	I	2.812	0.751	2.023	0.33	0.19	0.03	26.4	HOPS177	0.076	0.095	24.7
HOPS-163-B	5	37	17.329	-6	36	18.1	HOPS-163	0.7	NAN	NAN	I	1.702	0.252	1.486	0.26	0.0	0.0	0.0	HOPS163B	0.000	0.000	0.0
HOPS-163-A	5	37	17.277	-6	36	18.19	HOPS-163	0.0	NAN	NAN	I	78.064	3.302	2.434	0.26	0.79	0.28	60.4	HOPS163A	0.034	0.012	1.4
HOPS-164	5	37	0.425	-6	37	10.89	HOPS-164	0.6	HOPS-164	0.6	0	105.502	2.239	29.123	0.46	0.22	0.14	150.8	HOPS164	0.005	0.003	2.0
HOPS-171	5	36	17.208	-6	38	1.51	HOPS-171	0.2	HOPS-171	0.2	0	30.642	1.069	7.871	0.26	0.3	0.05	111.2	HOPS171	0.012	0.006	0.7
HOPS-169	5	36	36.16	-6	38	54.35	HOPS-169	2.5	HOPS-169	2.5	0	166.183	3.385	69.529	0.93	0.17	0.13	61.5	HOPS169	0.005	0.005	5.7
HOPS-166	5	36	25.131	-6	44	41.83	HOPS-166	0.1	NAN	NAN	Flat	239.25	4.446	75.165	1.0	0.16	0.15	92.9	HOPS166	0.005	0.005	77.3
HOPS-168-B	5	36	18.952	-6	45	23.48	HOPS-168	0.8	HOPS-168	0.8	0	42.053	3.049	20.762	0.95	0.13	0.09	127.1	HOPS168B	0.012	0.011	12.5
HOPS-168-A	5	36	18.941	-6	45	23.58	HOPS-168	0.9	HOPS-168	0.9	0	140.115	2.269	97.73	0.95	0.07	0.06	72.8	HOPS168A	0.003	0.003	11.5
HOPS-167	5	36	19.808	-6	46	0.82	HOPS-167	0.2	HOPS-168	40.3	Flat	2.068	0.405	1.813	0.21	0.05	0.02	84.1	HOPS167	0.032	0.043	170.4
HOPS-203-A	5	36	22.865	-6	46	6.63	HOPS-203	0.6	HOPS-203	0.6	0	61.725	1.102	28.566	0.34	0.18	0.07	50.2	HOPS203A	0.004	0.003	1.1
HOPS-203-B	5	36	22.862	-6	46	6.75	HOPS-203	0.7	HOPS-203	0.7	0	7.869	0.333	20.915	0.34	0.0	0.0	0.0	HOPS203B	0.000	0.000	0.0
HOPS-203-C	5	36	22.898	-6	46	9.47	HOPS-203	3.4	HOPS-203	3.4	0	74.079	0.838	48.343	0.37	0.1	0.06	175.4	HOPS203C	0.002	0.003	3.8
HOPS-165	5	36	23.539	-6	46	14.52	HOPS-165	0.0	HOPS-203	13.3	I	144.881	3.109	35.197	0.58	0.29	0.12	95.2	HOPS165	0.007	0.003	0.9
HOPS-159	5	37	53.764	-6	47	17.07	HOPS-159	0.4	HOPS-160	40.7	Flat	2.063	0.486	1.507	0.2	0.0	0.0	0.0	HOPS159	0.173	0.059	0.0
HOPS-160	5	37	51.056	-6	47	20.64	HOPS-160	0.3	HOPS-160	0.3	I	21.531	0.571	16.608	0.26	0.08	0.02	70.4	HOPS160	0.004	0.013	3.4
HOPS-355	5	37	17.123	-6	49	49.12	HOPS-355	0.7	HOPS-355	0.7	0	16.262	0.652	11.228	0.27	0.08	0.07	6.4	HOPS355	0.009	0.012	74.7
HOPS-157	5	37	56.574	-6	56	39.47	HOPS-157	0.3	NAN	NAN	I	58.868	3.323	3.133	0.24	0.53	0.46	15.8	HOPS157	0.030	0.026	17.6
HOPS-156	5	38	3.43	-6	58	15.89	HOPS-156	0.4	NAN	NAN	I	11.374	0.569	8.021	0.24	0.08	0.05	24.7	HOPS156	0.008	0.009	11.2
HOPS-149-B	5	38	40.472	-6	58	19.22	HOPS-149	2.5	NAN	NAN	Flat	72.822	3.313	32.557	1.02	0.12	0.11	39.6	HOPS149B	0.008	0.008	34.8
HOPS-149-A	5	38	40.496	-6	58	21.99	HOPS-149	0.4	NAN	NAN	Flat	289.469	6.206	56.173	0.97	0.24	0.22	49.7	HOPS149A	0.005	0.005	8.9
HOPS-158-A	5	37	24.473	-6	58	32.9	HOPS-158	0.3	NAN	NAN	Flat	4.211	0.449	4.116	0.23	0.05	0.01	37.6	HOPS158A	0.016	0.031	25.1
HOPS-158-B	5	37	24.48	-6	58	32.95	HOPS-158	0.4	NAN	NAN	Flat	4.389	0.508	3.739	0.23	0.08	0.02	71.1	HOPS158B	0.018	0.023	14.0
HOPS-154	5	38	20.113	-6	59	4.78	HOPS-154	0.3	NAN	NAN	I	2.86	0.867	1.506	0.32	0.24	0.11	12.3	HOPS154	0.091	0.076	26.7
HOPS-148	5	38	39.523	-6	59	30.23	HOPS-148	0.2	NAN	NAN	I	1.63	0.495	1.221	0.21	0.0	0.0	0.0	HOPS148	0.212	0.042	0.0
HOPS-143	5	38	46.193	-7	0	48.47	HOPS-143	0.2	NAN	NAN	I	15.634	0.477	14.038	0.25	0.05	0.02	25.8	HOPS143	0.006	0.012	13.9
HOPS-144	5	38	45.024	-7	1	1.69	HOPS-144	0.2	NAN	NAN	I	18.545	0.57	12.585	0.23	0.1	0.05	101.7	HOPS144	0.005	0.006	4.2
HOPS-377	5	38	45.536	-7	1	1.98	HOPS-377	0.2	NAN	NAN	0	19.771	0.942	8.635	0.27	0.17	0.09	145.2	HOPS377	0.010	0.009	4.8
HOPS-145-B	5	38	43.203	-7	1	7.39	HOPS-145	11.1	NAN	NAN	I	11.014	0.761	6.05	0.76	0.11	0.1	44.6	HOPS145B	0.012	0.012	38.5
HOPS-145-A	5	38	43.851	-7	1	13.1	HOPS-145	0.2	NAN	NAN	I	35.934	0.717	18.415	0.24	0.15	0.05	40.9	HOPS145A	0.004	0.004	1.0
HOPS-139	5	38	49.626	-7	1	17.63	HOPS-139	0.2	NAN	NAN	I	20.503	0.698	11.652	0.25	0.12	0.05	28.7	HOPS139	0.006	0.006	2.4
HOPS-140-C	5	38	46.282	-7	1	51.38	HOPS-140	2.1	NAN	NAN	I	3.679	0.666	2.075	0.24	0.14	0.06	2.8	HOPS140C	0.033	0.039	13.9
HOPS-140-B	5	38	46.274	-7	1	53.62	HOPS-140	0.2	NAN	NAN	I	101.527	5.912	1.54	0.23	1.54	0.58	72.2	HOPS140B	0.090	0.034	2.0
HOPS-140-A	5	38	45.717	-7	1	58.54	HOPS-140	9.8	NAN	NAN	I	32.595	0.67	17.722	0.56	0.12	0.08	178.6	HOPS140A	0.003	0.003	3.1
HOPS-376	5	38	18.099	-7	2	25.95	HOPS-376	0.8	HOPS-376	0.8	Flat	1199.52	25.546	155.665	2.88	0.37	0.3	32.6	HOPS376	0.008	0.007	4.4
HOPS-138-A	5	38	48.317	-7	2	43.68	HOPS-138	0.3	NAN	NAN	0	4.868	0.626	2.625	0.21	0.14	0.08	78.6	HOPS138A	0.025	0.025	13.4
HOPS-138-B	5	38	48.338	-7	2	43.68	HOPS-138	0.3	NAN	NAN	0	0.965	0.193	0.919	0.21	0.0	0.0	0.0	HOPS138B	0.000	0.000	0.0
HOPS-136	5	38	46.529	-7	5	37.41	HOPS-136	0.1	NAN	NAN	I	73.802	2.461	4.732	0.26	1.2	0.11	113.8	HOPS136	0.046	0.005	0.3
HOPS-153	5	37	57.023	-7	6	56.27	HOPS-153	0.3	HOPS-153	0.3	0	148.097	2.997	29.824	0.54	0.39	0.1	32.4	HOPS153	0.009	0.003	0.5
HOPS-152	5	37	58.748	-7	7	25.73	HOPS-152	0.4	HOPS-152	0.4	0	17.168	0.524	14.233	0.26	0.05	0.04	86.0	HOPS152	0.006	0.007	18.5
HOPS-150-A	5	38	7.53	-7	8	29.01	HOPS-150	0.2	NAN	NAN	Flat	22.782	0.546	18.972	0.27	0.05	0.03	135.2	HOPS150A	0.004	0.008	8.3
HOPS-150-B	5	38	7.53	-7	8	32.23	HOPS-150	3.0	NAN	NAN	Flat	5.094	0.742	3.146	0.3	0.09	0.07	70.9	HOPS150B	0.024	0.022	43.6
HOPS-129	5	39	11.868	-7	10	34.88	HOPS-129	0.3	NAN	NAN	Flat	54.864	1.018	34.391	0.39	0.1	0.06	44.5	HOPS129	0.003	0.003	3.0
HOPS-133	5	39	5.834	-7	10	39.24	HOPS-133	0.1	HOPS-133	0.1	I	14.484	0.585	9.801	0.24	0.1	0.04	6.3	HOPS133	0.006	0.009	3.6
HOPS-131	5	39	7.579	-7	10	52.22	HOPS-131	0.2	HOPS-133	29.0	I	16.002	0.953	5.069	0.23	0.2	0.1	12.1	HOPS131	0.013	0.008	3.3
HOPS-135	5	38	45.328	-7	10	56.04	HOPS-135	0.2	NAN	NAN	I	49.451	0.98	29.21	0.36	0.11	0.06	24.8	HOPS135	0.003	0.003	2.1
HOPS-132	5	39	5.371	-7	11	5.17	HOPS-132	0.2	HOPS-133	26.7	Flat	8.34	0.438	7.737	0.23	0.04	0.02	122.9	HOPS132	0.010	0.015	33.6
HOPS-134	5	38	42.791	-7	12	43.82	HOPS-134	0.2	NAN	NAN	Flat	38.036	0.719	29.811	0.33	0.06	0.05	20.2	HOPS134	0.003	0.004	35.7
HOPS-130	5	39	2.979	-7	12	52.2	HOPS-130	0.3	NAN	NAN	I	170.738	3.632	29.644	0.5	0.46	0.15	174.4	HOPS130	0.010	0.004	0.6
HOPS-122	5	39	45.139	-7	19	13.43	HOPS-122	0.2	NAN	NAN	I	7.616	1.084	2.071	0.22	0.27	0.11	9.9	HOPS122	0.041	0.021	5.7
HOPS-127	5	39	0.972	-7	20	22.55	HOPS-127	0.5	NAN	NAN	I	8.925	0.455	7.882	0.23	0.05	0.03	36.7	HOPS127	0.011	0.019	38.3
HOPS-128-A	5	38	52.015	-7	21	5.87	HOPS-128	0.2	NAN	NAN	Flat	14.175	0.58	9.148	0.23	0.1	0.05	84.7	HOPS128A	0.006	0.007	5.4
HOPS-128-B	5	38	52.378	-7	21	9.32	HOPS-128	6.4	NAN	NAN	Flat	11.367	0.544	7.892	0.33	0.08	0.06	103.7	HOPS128B	0.007	0.008	14.1
HOPS-123	5	39	33.286	-7	22	57.45	HOPS-123	0.2	HOPS-121-123	4.3	0	88.228	2.069	21.619	0.37	0.26	0.15	28.8	HOPS123	0.006	0.004	1.7
HOPS-119	5	39	50.689	-7	23	30.58	HOPS-119	0.6	NAN	NAN	Flat	2.491	0.628	1.367	0.21	0.18	0.06	67.5	HOPS119	0.057	0.038	13.9
HOPS-408	5	39	30.904	-7	23	59.67	HOPS-408	2.3	HOPS-408	2.3	0	90.365	2.492	20.64	0.37	0.28	0.24	157.5	HOPS408	0.008	0.008	9.2
HOPS-118	5	39	54.605	-7	24	14.97	HOPS-118	0.3	NAN	NAN	Flat	3.386	0.499	2.429	0.21	0.1	0.06	73.7	HOPS118	0.029	0.044	26.2
HOPS-117	5	39	55.46	-7	24	19.48	HOPS-117	0.3	NAN	NAN	Flat	40.453	1.661	7.771	0.25	0.37	0.16	120.6	HOPS117	0.016	0.007	1.8
HOPS-395-A	5	39	17.092	-7	24	24.55	HOPS-395	2.5	HOPS-395	2.5	0	12.186	0.608	19.57	0.6	0.02	0.02	79.9	HOPS395A	0.000	0.000	0.0
HOPS-395-B	5	39	17.081	-7	24	24.57	HOPS-395	2.4	HOPS-395	2.4	0	4.977	0.608	14.851	0.6	0.02	0.02	79.9	HOPS395B	0.000	0.000	0.0
HOPS-116	5	39	57.912	-7	25	13.09	HOPS-116	0.3	NAN	NAN	Flat	22.619	0.717	12.768	0.26	0.12	0.06	139.8	HOPS116	0.005	0.005	2.8
HOPS-114	5	40	1.391	-7	25	38.76	HOPS-114	0.3	NAN	NAN	I	3.753	0.504	2.752	0.21	0.1	0.06	10.5	HOPS114	0.024	0.031	89.8
HOPS-115	5	39	56.542	-7	25	51.62	HOPS-115	0.6	NAN	NAN	Flat	4.489	0.505	3.278	0.21	0.1	0.06	136.3	HOPS115	0.021	0.026	25.4
HOPS-124	5	39	19.911	-7	26	11.23	HOPS-124	1.1	HOPS-124	1.1	0	1232.89	25.038	130.116	3.04	0.35	0.25	3.3	HOPS124	0.007	0.005	2.3
HOPS-120	5	39	34.324	-7	26	11.29	HOPS-120	0.2	NAN	NAN	Flat	3.39	0.662	1.935	0.2	0.16	0.1	93.5	HOPS120	0.040	0.037	19.6
HOPS-125	5	39	19.54	-7	26	17.13	HOPS-125	2.0	HOPS-124	8.9	Flat	13.423	1.951	10.26	0.89	0.07	0.06	133.4	HOPS125	0.026	0.036	90.0
HOPS-287	5	40	8.789	-7	27	27.91	HOPS-287	0.3	NAN	NAN	I	102.187	2.497	20.343	0.41	0.39	0.14	58.8	HOPS287	0.010	0.004	0.8
HOPS-291	5	39	57.954	-7	28	57.62	HOPS-291	0.2	HOPS-290	36.7	Flat	14.549	0.644	9.429	0.26	0.09	0.06	153.7	HOPS291	0.009	0.012	16.0
HOPS-290-B	5	39	57.329	-7	29	32.71	HOPS-290	1.4	HOPS-290	1.4	0	69.138	2.252	9.97	0.36	0.5	0.11	137.7	HOPS290B	0.018	0.006	0.7
HOPS-290-A	5	39	57.377	-7	29	33.1	HOPS-290	0.6	HOPS-290	0.6	0	27.44	1.016	16.016	0.36	0.1	0.09	8.0	HOPS290A	0.009	0.010	72.3
HOPS-288-A-A	5	39	56.001	-7	30	27.57	HOPS-288	0.9	HOPS-288	0.9	0	902.369	19.144	107.016	2.65	0.42	0.18	145.6	HOPS288AA	0.009	0.004	0.9
HOPS-288-B	5	39	56.033	-7	30	27.96	HOPS-288	1.3	HOPS-288	1.3	0	156.674	10.667	54.634	2.67	0.22	0.1	121.2	HOPS288B	0.017	0.011	3.9
HOPS-282-A	5	40	26.091	-7	37	32.08	HOPS-282	0.1	NAN	NAN	I	10.648	0.504	9.254	0.26	0.04	0.03	113.4	HOPS282A	0.014	0.026	64.9
HOPS-282-B	5	40	26.08	-7	37	32.1	HOPS-282	0.2	NAN	NAN	I	1.881	0.439	1.938	0.26	0.0	0.0	0.0	HOPS282B	0.000	0.000	0.0
HOPS-281-A	5	40	24.648	-7	43	8.15	HOPS-281	0.5	NAN	NAN	Flat	66.243	1.268	40.036	0.48	0.09	0.08	103.9	HOPS281A	0.004	0.004	43.3
HOPS-281-B	5	40	24.6	-7	43	8.37	HOPS-281	0.3	NAN	NAN	Flat	1.282	0.458	1.218	0.48	0.0	0.0	0.0	HOPS281B	0.000	0.000	0.0
HOPS-276	5	40	42.924	-7	45	1.98	HOPS-276	0.2	NAN	NAN	I	2.782	0.44	2.599	0.25	0.0	0.0	0.0	HOPS276	0.065	0.032	0.0
HOPS-279	5	40	17.806	-7	48	25.84	HOPS-279	0.3	NAN	NAN	Flat	59.311	1.13	38.409	0.45	0.1	0.05	129.5	HOPS279	0.004	0.004	3.9
HOPS-280	5	40	14.953	-7	48	48.64	HOPS-280	0.3	NAN	NAN	I	91.715	1.69	49.111	0.58	0.13	0.07	59.4	HOPS280	0.003	0.003	1.8
HOPS-275	5	40	36.328	-7	49	7.11	HOPS-275	0.3	NAN	NAN	I	2.919	0.507	2.108	0.23	0.1	0.03	177.2	HOPS275	0.025	0.048	35.3
HOPS-267	5	41	19.675	-7	50	41.03	HOPS-267	0.2	NAN	NAN	I	32.054	0.709	25.724	0.34	0.06	0.04	145.7	HOPS267	0.005	0.008	18.5
HOPS-278	5	40	20.379	-7	51	15.0	HOPS-278	0.4	NAN	NAN	I	7.338	0.844	3.539	0.25	0.14	0.1	45.9	HOPS278	0.024	0.023	56.3
HOPS-265	5	41	20.35	-7	53	10.71	HOPS-265	0.4	NAN	NAN	Flat	12.496	0.754	6.926	0.25	0.1	0.1	20.1	HOPS265	0.014	0.016	77.1
HOPS-262	5	41	23.979	-7	53	42.21	HOPS-262	0.3	NAN	NAN	Flat	14.667	0.603	10.531	0.26	0.08	0.07	66.7	HOPS262	0.008	0.008	77.9
HOPS-263	5	41	23.691	-7	53	46.76	HOPS-263	0.1	NAN	NAN	I	35.743	1.123	11.017	0.26	0.18	0.15	103.9	HOPS263	0.007	0.007	16.6
HOPS-253	5	41	28.784	-7	53	51.04	HOPS-253	0.2	NAN	NAN	Flat	86.999	2.05	27.033	0.43	0.19	0.16	116.3	HOPS253	0.006	0.005	8.6
HOPS-258	5	41	24.727	-7	54	8.51	HOPS-258	0.3	NAN	NAN	Flat	46.29	1.118	23.371	0.36	0.13	0.09	128.1	HOPS258	0.005	0.005	6.1
HOPS-270	5	40	40.56	-7	54	39.77	HOPS-270	0.4	NAN	NAN	I	1.482	0.605	1.072	0.24	0.0	0.0	0.0	HOPS270	0.230	0.036	0.0
HOPS-274-A	5	40	20.727	-7	54	59.79	HOPS-274	0.2	NAN	NAN	Flat	1.6	0.231	1.272	0.23	0.0	0.0	0.0	HOPS274A	0.000	0.000	0.0
HOPS-274-B	5	40	20.731	-7	54	59.99	HOPS-274	0.4	NAN	NAN	Flat	1.206	0.231	1.14	0.23	0.0	0.0	0.0	HOPS274B	0.000	0.000	0.0
HOPS-254	5	41	24.518	-7	55	7.41	HOPS-254	0.1	HOPS-254	0.1	I	308.891	6.279	68.261	1.1	0.28	0.16	120.3	HOPS254	0.006	0.004	1.6
HOPS-374	5	41	25.459	-7	55	18.8	HOPS-374	0.1	HOPS-254	18.1	0	2.449	0.649	1.499	0.24	0.17	0.05	89.9	HOPS374	0.064	0.038	24.8
HOPS-261-A	5	41	18.889	-7	55	28.57	HOPS-261	0.5	NAN	NAN	I	3.078	0.629	2.19	0.24	0.13	0.04	62.3	HOPS261A	0.041	0.028	19.0
HOPS-261-B	5	41	18.894	-7	55	29.34	HOPS-261	0.3	NAN	NAN	I	3.718	0.746	2.165	0.24	0.15	0.07	68.2	HOPS261B	0.041	0.035	30.8
HOPS-257	5	41	19.897	-7	55	46.77	HOPS-257	0.4	NAN	NAN	Flat	9.377	0.569	6.797	0.25	0.07	0.05	25.9	HOPS257	0.014	0.022	25.3
HOPS-273	5	40	20.905	-7	56	24.58	HOPS-273	0.4	NAN	NAN	I	139.235	1.501	38.764	0.3	0.25	0.14	143.0	HOPS273	0.003	0.002	0.9
HOPS-247	5	41	26.187	-7	56	51.91	HOPS-247	0.6	HOPS-247	0.6	0	252.449	5.121	63.797	0.97	0.23	0.16	17.9	HOPS247	0.005	0.004	2.8
HOPS-248-B	5	41	22.128	-7	58	2.95	HOPS-248	0.5	NAN	NAN	Flat	2.024	0.378	2.851	0.39	0.0	0.0	0.0	HOPS248B	0.000	0.000	0.0
HOPS-248-A	5	41	22.138	-7	58	3.08	HOPS-248	0.7	NAN	NAN	Flat	45.824	0.939	31.073	0.39	0.08	0.06	35.7	HOPS248A	0.005	0.005	13.0
HOPS-245	5	41	22.892	-7	58	56.0	HOPS-245	0.5	NAN	NAN	Flat	1.81	0.233	1.608	0.23	0.0	0.0	0.0	HOPS245	0.000	0.000	0.0
HOPS-264	5	40	59.115	-8	0	14.4	HOPS-264	0.2	NAN	NAN	Flat	1.126	0.419	1.044	0.23	0.0	0.0	0.0	HOPS264	0.000	0.000	0.0
HOPS-268	5	40	38.357	-8	0	36.03	HOPS-268	0.4	NAN	NAN	I	5.768	1.394	1.387	0.26	0.26	0.16	42.2	HOPS268	0.069	0.051	31.7
HOPS-241	5	41	26.453	-8	1	2.08	HOPS-241	0.8	NAN	NAN	I	14.257	0.571	11.335	0.27	0.07	0.04	37.9	HOPS241	0.009	0.013	19.8
